,Alt-Treptow,Friedrichshain,Kreuzberg,Lichtenberg,Mitte,Neukölln,Prenzlauer Berg,Schöneberg,Tempelhof,London,Seoul,San Francisco
Alt-Treptow,1,3.2,3.9,6.6,9.3,7.2,6.7,8.2,7.2,1104,8122,9099
Friedrichshain,3.2,1,4.4,4.6,7.6,10.1,3.5,9.1,8.5,1104,8122,9099
Kreuzberg,3.9,4.4,1,8.5,6.4,8.2,5.2,4.3,4.2,1104,8122,9099
Lichtenberg,6.6,4.6,8.5,1,10.8,13.8,5.9,12.6,12.9,1104,8122,9099
Mitte,9.3,7.6,6.4,10.8,1,14.2,5.1,6,8.5,1104,8122,9099
Neukölln,7.2,10.1,8.2,13.8,14.2,1,12.9,10,6.3,1104,8122,9099
Prenzlauer Berg,6.7,3.5,5.2,5.9,5.1,12.9,1,8.3,8.9,1104,8122,9099
Schöneberg,8.2,9.1,4.3,12.6,6,10,8.3,1,3.7,1104,8122,9099
Tempelhof,7.2,8.5,4.2,12.9,8.5,6.3,8.9,3.7,1,1104,8122,9099
London,1104,1104,1104,1104,1104,1104,1104,1104,1104,1,8851,8612
Seoul,8122,8122,8122,8122,8122,8122,8122,8122,8122,8851,1,9024
San Francisco,9099,9099,9099,9099,9099,9099,9099,9099,9099,8612,9024,1
